freq : 916.66 MHz
SWR : 7.33
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
120  30  -2.54        0.56           42.82 
125  30  -1.25        0.75           47.85 
130  30  1.39        1.38           56.21 
135  30  2.20        1.66           60.47 
140  30  2.81        1.91           66.10 
145  30  2.96        1.98           71.15 
150  30  2.49        1.77           75.45 
155  30  1.61        1.45           79.21 
160  30  0.07        1.02           82.50 
165  30  -2.17        0.61           85.33 
170  30  -5.48        0.28           87.60 
175  30  -11.39        0.07           89.51 
180  30  -45.11        0.00           177.64 
0  35  -45.11        0.00           2.36 
5  35  -11.36        0.07           87.17 
10  35  -5.46        0.28           86.42 
15  35  -2.15        0.61           84.55 
20  35  0.09        1.02           81.92 
25  35  1.63        1.46           78.75 
30  35  2.50        1.78           75.06 
35  35  2.97        1.98           70.82 
40  35  2.83        1.92           65.80 
45  35  2.21        1.66           60.19 
50  35  1.41        1.38           55.93 
55  35  -1.22        0.76           47.54 
60  35  -2.50        0.56           42.51 
65  35  -3.95        0.40           43.62 
70  35  -4.40        0.36           53.07 
75  35  -3.28        0.47           65.78 
80  35  -1.46        0.71           74.44 
85  35  -0.07        0.98           78.55 
90  35  0.42        1.10           79.72 
95  35  -0.08        0.98           78.63 
100  35  -1.47        0.71           74.63 
105  35  -3.30        0.47           66.07 
110  35  -4.44        0.36           53.42 
115  35  -3.99        0.40           43.95 
120  35  -2.54        0.56           42.82 
125  35  -1.25        0.75           47.85 
130  35  1.39        1.38           56.21 
135  35  2.20        1.66           60.47 
140  35  2.81        1.91           66.10 
145  35  2.96        1.98           71.15 
150  35  2.49        1.77           75.45 
155  35  1.61        1.45           79.21 
160  35  0.07        1.02           82.50 
165  35  -2.17        0.61           85.33 
170  35  -5.48        0.28           87.60 
175  35  -11.39        0.07           89.51 
180  35  -45.11        0.00           177.64 
0  40  -45.11        0.00           2.36 
5  40  -11.36        0.07           87.17 
10  40  -5.46        0.28           86.42 
15  40  -2.15        0.61           84.55 
20  40  0.09        1.02           81.92 
25  40  1.63        1.46           78.75 
30  40  2.50        1.78           75.06 
35  40  2.97        1.98           70.82 
40  40  2.83        1.92           65.80 
45  40  2.21        1.66           60.19 
50  40  1.41        1.38           55.93 
55  40  -1.22        0.76           47.54 
60  40  -2.50        0.56           42.51 
65  40  -3.95        0.40           43.62 
70  40  -4.40        0.36           53.07 
75  40  -3.28        0.47           65.78 
80  40  -1.46        0.71           74.44 
85  40  -0.07        0.98           78.55 
90  40  0.42        1.10           79.72 
95  40  -0.08        0.98           78.63 
100  40  -1.47        0.71           74.63 
105  40  -3.30        0.47           66.07 
110  40  -4.44        0.36           53.42 
115  40  -3.99        0.40           43.95 
120  40  -2.54        0.56           42.82 
125  40  -1.25        0.75           47.85 
130  40  1.39        1.38           56.21 
135  40  2.20        1.66           60.47 
140  40  2.81        1.91           66.10 
145  40  2.96        1.98           71.15 
150  40  2.49        1.77           75.45 
155  40  1.61        1.45           79.21 
160  40  0.07        1.02           82.50 
165  40  -2.17        0.61           85.33 
170  40  -5.48        0.28           87.60 
